Algorithm,Run,Time (ms),R,Latitude,Longitude,ax,ay,az
Belikov,71,13.4095,6.60787e+06,-56.4232,28.9341,-4.40214,-2.43343,7.60033
Cunningham,71,13.4348,6.60787e+06,-56.4232,28.9341,-4.40214,-2.43341,7.60033
Stokes_1thread,71,13.3912,6.60787e+06,-56.4232,28.9341,-4.40214,-2.43343,7.60033
Stokes_multithread,71,13.5673,6.60787e+06,-56.4232,28.9341,-4.40214,-2.43343,7.60033
Belikov,72,13.3761,6.60309e+06,62.6189,-64.1475,-1.82497,3.76708,-8.10611
Cunningham,72,13.4076,6.60309e+06,62.6189,-64.1475,-1.82497,3.76693,-8.10611
Stokes_1thread,72,13.4188,6.60309e+06,62.6189,-64.1475,-1.82497,3.76708,-8.10611
Stokes_multithread,72,13.7105,6.60309e+06,62.6189,-64.1475,-1.82497,3.76708,-8.10611
Belikov,73,13.3342,6.14298e+06,-63.455,-54.491,-2.72745,3.82254,9.43293
Cunningham,73,13.486,6.14298e+06,-63.455,-54.491,-2.72745,3.82257,9.43293
Stokes_1thread,73,13.4099,6.14298e+06,-63.455,-54.491,-2.72745,3.82254,9.43293
Stokes_multithread,73,13.6308,6.14298e+06,-63.455,-54.491,-2.72745,3.82254,9.43293
Belikov,74,13.4234,6.01367e+06,-52.4746,27.1655,-5.94982,-3.05306,8.73913
Cunningham,74,13.3755,6.01367e+06,-52.4746,27.1655,-5.94982,-3.05301,8.73913
Stokes_1thread,74,13.4341,6.01367e+06,-52.4746,27.1655,-5.94982,-3.05306,8.73913
Stokes_multithread,74,13.6818,6.01367e+06,-52.4746,27.1655,-5.94982,-3.05306,8.73913
Belikov,75,13.4072,6.31066e+06,-69.9938,18.8182,-3.22293,-1.0982,9.38305
Cunningham,75,13.3793,6.31066e+06,-69.9938,18.8182,-3.22293,-1.09824,9.38305
Stokes_1thread,75,13.324,6.31066e+06,-69.9938,18.8182,-3.22293,-1.0982,9.38305
Stokes_multithread,75,13.3707,6.31066e+06,-69.9938,18.8182,-3.22293,-1.0982,9.38305
Belikov,76,13.4034,6.69029e+06,-28.6928,-18.7715,-7.39458,2.51329,4.2872
Cunningham,76,13.4069,6.69029e+06,-28.6928,-18.7715,-7.39458,2.51329,4.2872
Stokes_1thread,76,13.3781,6.69029e+06,-28.6928,-18.7715,-7.39458,2.51329,4.2872
Stokes_multithread,76,13.598,6.69029e+06,-28.6928,-18.7715,-7.39458,2.51329,4.2872
Belikov,77,13.4213,6.31706e+06,-87.3923,36.3278,-0.363476,-0.267329,9.94549
Cunningham,77,13.3797,6.31706e+06,-87.3923,36.3278,-0.363476,-0.267582,9.94549
Stokes_1thread,77,13.4187,6.31706e+06,-87.3923,36.3278,-0.363476,-0.267329,9.94549
Stokes_multithread,77,13.6555,6.31706e+06,-87.3923,36.3278,-0.363476,-0.267329,9.94549
Belikov,78,13.3876,6.83547e+06,18.1654,-15.8807,-7.80223,2.21973,-2.66911
Cunningham,78,13.2595,6.83547e+06,18.1654,-15.8807,-7.80223,2.21976,-2.66911
Stokes_1thread,78,13.4059,6.83547e+06,18.1654,-15.8807,-7.80223,2.21973,-2.66911
Stokes_multithread,78,13.3772,6.83547e+06,18.1654,-15.8807,-7.80223,2.21973,-2.66911
Belikov,79,13.4013,6.1241e+06,19.5335,114.626,4.17658,-9.11249,-3.56917
Cunningham,79,13.3985,6.1241e+06,19.5335,114.626,4.17658,-9.11252,-3.56917
Stokes_1thread,79,13.4041,6.1241e+06,19.5335,114.626,4.17658,-9.11249,-3.56917
Stokes_multithread,79,13.4506,6.1241e+06,19.5335,114.626,4.17658,-9.11249,-3.56917
Belikov,80,13.4014,6.60041e+06,-80.6685,99.9398,0.254786,-1.45263,9.00284
Cunningham,80,13.3442,6.60041e+06,-80.6685,99.9398,0.254786,-1.45284,9.00284
Stokes_1thread,80,13.3284,6.60041e+06,-80.6685,99.9398,0.254786,-1.45263,9.00284
Stokes_multithread,80,13.4346,6.60041e+06,-80.6685,99.9398,0.254786,-1.45263,9.00284
Belikov,81,13.4441,6.06017e+06,44.7178,123.415,4.23548,-6.42068,-7.64399
Cunningham,81,13.5152,6.06017e+06,44.7178,123.415,4.23548,-6.4207,-7.64399
Stokes_1thread,81,13.4303,6.06017e+06,44.7178,123.415,4.23548,-6.42068,-7.64399
Stokes_multithread,81,13.6155,6.06017e+06,44.7178,123.415,4.23548,-6.42068,-7.64399
Belikov,82,13.3703,6.55977e+06,-48.5265,7.98009,-6.05855,-0.849293,6.94264
Cunningham,82,13.3199,6.55977e+06,-48.5265,7.98009,-6.05855,-0.849278,6.94264
Stokes_1thread,82,13.42,6.55977e+06,-48.5265,7.98009,-6.05855,-0.849293,6.94264
Stokes_multithread,82,13.59,6.55977e+06,-48.5265,7.98009,-6.05855,-0.849293,6.94264
Belikov,83,13.4483,6.13807e+06,-47.1474,14.0043,-6.96091,-1.73601,7.76033
Cunningham,83,13.374,6.13807e+06,-47.1474,14.0043,-6.96091,-1.736,7.76033
Stokes_1thread,83,13.4516,6.13807e+06,-47.1474,14.0043,-6.96091,-1.73601,7.76033
Stokes_multithread,83,13.392,6.13807e+06,-47.1474,14.0043,-6.96091,-1.73601,7.76033
Belikov,84,13.4328,6.6075e+06,-54.3825,2.76127,-5.29231,-0.255232,7.41849
Cunningham,84,13.3128,6.6075e+06,-54.3825,2.76127,-5.29231,-0.255214,7.41849
Stokes_1thread,84,13.4565,6.6075e+06,-54.3825,2.76127,-5.29231,-0.255232,7.41849
Stokes_multithread,84,13.4523,6.6075e+06,-54.3825,2.76127,-5.29231,-0.255232,7.41849
Belikov,85,13.4164,6.8253e+06,89.2872,-139.673,0.0808063,0.0684854,-8.53168
Cunningham,85,13.3566,6.8253e+06,89.2872,-139.673,0.0808063,0.0683745,-8.53168
Stokes_1thread,85,13.6054,6.8253e+06,89.2872,-139.673,0.0808063,0.0684854,-8.53168
Stokes_multithread,85,13.6314,6.8253e+06,89.2872,-139.673,0.0808063,0.0684854,-8.53168
Belikov,86,13.6857,6.69405e+06,29.6765,-48.0521,-5.16428,5.74636,-4.41545
Cunningham,86,13.5616,6.69405e+06,29.6765,-48.0521,-5.16428,5.7464,-4.41545
Stokes_1thread,86,13.4296,6.69405e+06,29.6765,-48.0521,-5.16428,5.74636,-4.41545
Stokes_multithread,86,13.7571,6.69405e+06,29.6765,-48.0521,-5.16428,5.74636,-4.41545
Belikov,87,13.4798,6.72979e+06,27.0006,10.1049,-7.71987,-1.37586,-4.00715
Cunningham,87,13.4937,6.72979e+06,27.0006,10.1049,-7.71987,-1.37583,-4.00715
Stokes_1thread,87,13.5399,6.72979e+06,27.0006,10.1049,-7.71987,-1.37586,-4.00715
Stokes_multithread,87,13.4336,6.72979e+06,27.0006,10.1049,-7.71987,-1.37586,-4.00715
Belikov,88,13.41,6.27839e+06,-72.8419,-94.0556,0.209948,2.95781,9.63669
Cunningham,88,13.4787,6.27839e+06,-72.8419,-94.0556,0.209948,2.95772,9.63669
Stokes_1thread,88,13.4163,6.27839e+06,-72.8419,-94.0556,0.209948,2.95781,9.63669
Stokes_multithread,88,13.652,6.27839e+06,-72.8419,-94.0556,0.209948,2.95781,9.63669
Belikov,89,13.4589,6.16866e+06,74.7188,93.8668,0.185094,-2.73725,-10.0756
Cunningham,89,13.4786,6.16866e+06,74.7188,93.8668,0.185094,-2.73708,-10.0756
Stokes_1thread,89,13.7985,6.16866e+06,74.7188,93.8668,0.185094,-2.73725,-10.0756
Stokes_multithread,89,13.2858,6.16866e+06,74.7188,93.8668,0.185094,-2.73725,-10.0756
Belikov,90,13.389,6.04554e+06,-34.0005,-150.026,7.82406,4.51256,6.1144
Cunningham,90,13.4818,6.04554e+06,-34.0005,-150.026,7.82406,4.51265,6.1144
Stokes_1thread,90,13.4014,6.04554e+06,-34.0005,-150.026,7.82406,4.51256,6.1144
Stokes_multithread,90,13.4339,6.04554e+06,-34.0005,-150.026,7.82406,4.51256,6.1144
Belikov,91,13.3832,6.18216e+06,61.5836,-170.002,4.86364,0.857416,-9.1592
Cunningham,91,13.4451,6.18216e+06,61.5836,-170.002,4.86364,0.857449,-9.1592
Stokes_1thread,91,13.3923,6.18216e+06,61.5836,-170.002,4.86364,0.857416,-9.1592
Stokes_multithread,91,13.4814,6.18216e+06,61.5836,-170.002,4.86364,0.857416,-9.1592
Belikov,92,13.4022,6.23517e+06,-86.4753,-130.936,0.410504,0.473032,10.1987
Cunningham,92,13.4147,6.23517e+06,-86.4753,-130.936,0.410504,0.472758,10.1987
Stokes_1thread,92,13.4444,6.23517e+06,-86.4753,-130.936,0.410504,0.473032,10.1987
Stokes_multithread,92,13.5717,6.23517e+06,-86.4753,-130.936,0.410504,0.473032,10.1987
Belikov,93,13.4902,6.97602e+06,82.8368,-150.593,0.885085,0.498856,-8.10566
Cunningham,93,13.4392,6.97602e+06,82.8368,-150.593,0.885085,0.498797,-8.10566
Stokes_1thread,93,13.3885,6.97602e+06,82.8368,-150.593,0.885085,0.498856,-8.10566
Stokes_multithread,93,13.4559,6.97602e+06,82.8368,-150.593,0.885085,0.498856,-8.10566
Belikov,94,13.3415,6.56363e+06,-52.2625,39.7782,-4.33796,-3.61141,7.31566
Cunningham,94,13.3937,6.56363e+06,-52.2625,39.7782,-4.33796,-3.61136,7.31566
Stokes_1thread,94,13.4368,6.56363e+06,-52.2625,39.7782,-4.33796,-3.61141,7.31566
Stokes_multithread,94,13.4822,6.56363e+06,-52.2625,39.7782,-4.33796,-3.61141,7.31566
Belikov,95,13.4415,6.04191e+06,-31.9991,-65.853,-3.78549,8.44375,5.80316
Cunningham,95,13.3928,6.04191e+06,-31.9991,-65.853,-3.78549,8.44378,5.80316
Stokes_1thread,95,13.3851,6.04191e+06,-31.9991,-65.853,-3.78549,8.44375,5.80316
Stokes_multithread,95,13.5822,6.04191e+06,-31.9991,-65.853,-3.78549,8.44375,5.80316
Belikov,96,13.3615,6.91854e+06,54.8841,-153.494,4.27288,2.13095,-6.80847
Cunningham,96,13.4619,6.91854e+06,54.8841,-153.494,4.27288,2.13097,-6.80847
Stokes_1thread,96,13.4036,6.91854e+06,54.8841,-153.494,4.27288,2.13095,-6.80847
Stokes_multithread,96,13.3397,6.91854e+06,54.8841,-153.494,4.27288,2.13095,-6.80847
Belikov,97,13.3961,6.29552e+06,-15.5823,89.3493,-0.110235,-9.69685,2.71327
Cunningham,97,13.3288,6.29552e+06,-15.5823,89.3493,-0.110235,-9.69687,2.71327
Stokes_1thread,97,13.411,6.29552e+06,-15.5823,89.3493,-0.110235,-9.69685,2.71327
Stokes_multithread,97,13.5945,6.29552e+06,-15.5823,89.3493,-0.110235,-9.69685,2.71327
Belikov,98,13.398,6.35654e+06,-44.2372,63.5651,-3.13915,-6.31425,6.88858
Cunningham,98,13.401,6.35654e+06,-44.2372,63.5651,-3.13915,-6.31422,6.88858
Stokes_1thread,98,13.4161,6.35654e+06,-44.2372,63.5651,-3.13915,-6.31425,6.88858
Stokes_multithread,98,13.8365,6.35654e+06,-44.2372,63.5651,-3.13915,-6.31425,6.88858
Belikov,99,13.3688,6.95819e+06,-63.8694,-176.073,3.60224,0.24727,7.38075
Cunningham,99,13.6273,6.95819e+06,-63.8694,-176.073,3.60224,0.247282,7.38075
Stokes_1thread,99,13.4022,6.95819e+06,-63.8694,-176.073,3.60224,0.24727,7.38075
Stokes_multithread,99,13.4576,6.95819e+06,-63.8694,-176.073,3.60224,0.24727,7.38075
Belikov,100,13.4735,6.62625e+06,-21.2434,172.751,8.39836,-1.06815,3.30112
Cunningham,100,13.3699,6.62625e+06,-21.2434,172.751,8.39836,-1.06821,3.30112
Stokes_1thread,100,13.3726,6.62625e+06,-21.2434,172.751,8.39836,-1.06815,3.30112
Stokes_multithread,100,13.6601,6.62625e+06,-21.2434,172.751,8.39836,-1.06815,3.30112

Total time (ms):
Belikov,1342.44
Cunningham,1341.09
Stokes_1thread,1342.15
Stokes_multithread,1357.39
Speedup,0.988777
Efficiency,0.247194
Final accelerations (m/s^2):
Belikov,8.3983628330,-1.0681502723,3.3011152593
Cunningham,8.3983628330,-1.0682084604,3.3011152593
Holmes_1thread,8.3983628330,-1.0681502723,3.3011152593
Holmes_multithread,8.3983628330,-1.0681502723,3.3011152593
